wave,label,symbol,session_start,session_end,vt,sl_atr,tp_atr,total_net_profit,profit_factor,total_trades,max_dd_pct,sharpe,recovery_factor,win_rate,source_path
w4,W4_atr_S1416_VT050_SL030,EURUSD,14,16,0.5,0.3,2.0,105.34,1.14,124,13.11,12.59,0.62,20.97,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w4_W4_atr_S1416_VT050_SL030_20260422_004507.htm
w4,W4_atr_S1416_VT065_SL050,EURUSD,14,16,0.65,0.5,2.0,29.38,1.39,19,3.53,20.64,0.67,36.84,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w4_W4_atr_S1416_VT065_SL050_20260422_004606.htm
w4,W4_mom_S0812_VT020_SL070,EURUSD,8,12,0.2,0.7,2.0,-997.83,0.77,2023,99.81,-5.0,-0.89,25.11,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w4_W4_mom_S0812_VT020_SL070_20260422_004704.htm
w4,W4_mom_S0812_VT050_SL030,EURUSD,8,12,0.5,0.3,2.0,28.96,1.19,26,5.11,16.19,0.36,26.92,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w4_W4_mom_S0812_VT050_SL030_20260422_004832.htm
w4,W4_mom_S0812_VT065_SL050,EURUSD,8,12,0.65,0.5,2.0,0.0,0.0,0,0.0,0.0,0.0,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w4_W4_mom_S0812_VT065_SL050_20260422_005000.htm
w5,W5_atr_USDJPY_S1317_VT050_SL050,USDJPY,13,17,0.5,0.5,2.0,-89.34,0.76,83,13.68,-5.0,-0.56,22.89,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w5_W5_atr_USDJPY_S1317_VT050_SL050_20260422_072130.htm
w6,W6_atr_GBP_S1317_VT020_SL040,GBPUSD,13,17,0.2,0.4,2.0,-945.0,0.55,1215,94.71,-5.0,-0.95,17.78,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w6_W6_atr_GBP_S1317_VT020_SL040_20260422_072543.htm
w6,W6_atr_GBP_S1317_VT050_SL020,GBPUSD,13,17,0.5,0.2,2.0,49.03,1.11,78,8.3,7.68,0.55,17.95,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w6_W6_atr_GBP_S1317_VT050_SL020_20260422_072711.htm
w7,W7_null_GBP_S1115_VT050_SL030,GBPUSD,11,15,0.5,0.3,2.0,-42.01,0.0,7,4.2,-2.3,-0.95,0.0,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w7_W7_null_GBP_S1115_VT050_SL030_20260422_073623.htm
w8,W8_null_EUR_S1115_VT050_SL050,EURUSD,11,15,0.5,0.5,2.0,61.18,2.65,11,1.18,13.28,3.99,45.45,C:\Users\kahad\IdeaProjects\EuroBigBrain\runs\harvested\p3_ebb_w8_W8_null_EUR_S1115_VT050_SL050_20260422_074548.htm
